id,institution,region
220,University of Tulsa,South
221,University of Utah,West
222,University of Victoria,Canada
223,University of Virginia,South
224,University of Washington,West
225,University of Waterloo,Canada
226,University of Western Ontario,Canada
227,"University of Wisconsin, Madison",Midwest
228,"University of Wisconsin, Milwaukee",Midwest
229,University of Wyoming,West
230,Utah State University,West
231,Vanderbilt University,South
232,Virginia Commonwealth University,South
233,Virginia Tech,South
234,Wake Forest University,South
235,"Washington State University, Pullman",West
236,"Washington University, St. Louis",Midwest
237,Wayne State University,Midwest
238,Western Michigan University,Midwest
239,West Virginia University,South
240,Worcester Polytechnic Institute,Northeast
241,Wright State University,Midwest
242,Yale University,Northeast
243,York University,Canada
