Talk_ID,public_url,speaker_name,duration,published,tags,views
1959,https://www.ted.com/talks/hugh_herr_the_new_bionics_that_let_us_run_climb_and_dance,Hugh Herr,00:19:00,3/28/14,"prosthetics,exoskeleton,technology,dance",8390910
1961,https://www.ted.com/talks/geena_rocero_why_i_must_come_out,Geena Rocero,00:09:59,3/31/14,"LGBT,Transgender,gender,gender equality,activism,beauty,fashion,inequality,identity",3251720
1963,https://www.ted.com/talks/allan_adams_the_discovery_that_could_rewrite_physics,Allan Adams,00:04:42,4/1/14,"big bang,physics,astronomy,space,universe,time",1798238
1964,https://www.ted.com/talks/bill_and_melinda_gates_why_giving_away_our_wealth_has_been_the_most_satisfying_thing_we_ve_done,Bill and Melinda Gates,00:25:00,4/2/14,"philanthropy,activism,business,money",3487317
1960,https://www.ted.com/talks/lawrence_lessig_the_unstoppable_walk_to_political_reform,Lawrence Lessig,00:13:44,4/4/14,"government,corruption,democracy,politics",1118766
1966,https://www.ted.com/talks/amanda_burden_how_public_spaces_make_cities_work,Amanda Burden,00:18:28,4/7/14,"cities,architecture",1144546
1969,https://www.ted.com/talks/louie_schwartzberg_hidden_miracles_of_the_natural_world,Louie Schwartzberg,00:07:24,4/9/14,"nanoscale,insects,bacteria,photography,nature,film",7663738
1971,https://www.ted.com/talks/david_sengeh_the_sore_problem_of_prosthetic_limbs,David Sengeh,00:04:43,4/10/14,"prosthetics,Senses,global issues,TED Fellows,technology",764177
1972,https://www.ted.com/talks/gabby_giffords_and_mark_kelly_be_passionate_be_courageous_be_your_best,Gabby Giffords and Mark Kelly,00:18:48,4/11/14,"guns,violence",1078619
1973,https://www.ted.com/talks/david_brooks_should_you_live_for_your_resume_or_your_eulogy,David Brooks,00:05:01,4/14/14,"philosophy,introvert,psychology,self,success",2429419
1974,https://www.ted.com/talks/jennifer_senior_for_parents_happiness_is_a_very_high_bar,Jennifer Senior,00:18:11,4/15/14,"family,parenting,culture",2048669
1976,https://www.ted.com/talks/jeremy_kasdin_the_flower_shaped_starshade_that_might_help_us_detect_earth_like_planets,Jeremy Kasdin,00:06:38,4/17/14,"Planets,telescopes,astronomy,space,science,technology",1311488
1977,https://www.ted.com/talks/matthew_carter_my_life_in_typefaces,Matthew Carter,00:16:01,4/18/14,"typography,industrial design,design",1138620
1978,https://www.ted.com/talks/sarah_lewis_embrace_the_near_win,Sarah Lewis,00:11:41,4/21/14,"failure,motivation,art",2437775
1979,https://www.ted.com/talks/michel_laberge_how_synchronized_hammer_strikes_could_generate_nuclear_fusion,Michel Laberge,00:12:50,4/22/14,"nuclear energy,alternative energy,physics,industrial design,visualizations,energy,science,sustainability,future",1068367
1983,https://www.ted.com/talks/elizabeth_gilbert_success_failure_and_the_drive_to_keep_creating,Elizabeth Gilbert,00:07:18,4/25/14,"failure,writing,creativity,success",4067021
1985,https://www.ted.com/talks/wendy_chung_autism_what_we_know_and_what_we_don_t_know_yet,Wendy Chung,00:15:35,4/28/14,"Vaccines,DNA,pregnancy,disability,Autism spectrum disorder,family,psychology,children,health,medicine,neuroscience,medical research,disease,biology,cognitive science,mental health,science,genetics",2580625
1986,https://www.ted.com/talks/david_epstein_are_athletes_really_getting_faster_better_stronger,David Epstein,00:14:53,4/29/14,"physiology,DNA,sports,innovation,science,genetics",3871215
1987,https://www.ted.com/talks/andrew_bastawrous_get_your_next_eye_exam_on_a_smartphone,Andrew Bastawrous,00:06:33,4/30/14,"blindness,sight,public health,TED Fellows,health,invention",1089212
